Title,Surname,First Name,Other Names,Prefered Name,Initials,Honorifics,Salutation,Gender,Political Party,State,Electorate AddressLine1,Electorate AddressLine2,Electorate Suburb,Electorate State,Electorate Postcode,Label Address,Label Suburb,Label State,Label Postcode,Electorate Fax,Electorate Telephone,Electorate Toll Free,Parliamentary Titles
Senator the Hon,Abetz,Eric,,Eric,E.,,Senator,MALE,LP,Tas,Highbury House,136 Davey Street,Hobart,Tas,7000,GPO Box 1675,Hobart,Tas,7001,(03) 6224 3709,(03) 6224 3707,1300 132 493,"Minister for Employment, Minister Assisting the Prime Minister for the Public Service, Leader of the Government in the Senate"
Senator,Back,Christopher,John,Chris,C. J.,,Senator,MALE,LP,WA,Unit E5,817 Beeliar Drive,Cockburn Central,WA,6164,PO Box 3468,Success,WA,6964,(08)9414 8819,(08) 9414 7288,1300 301 846,
Senator,Bernardi,Cory,,Cory,C.,,Senator,MALE,LP,SA,36 Grenfell Street,,Kent Town,SA,5067,PO Box 2192,Kent Town,SA,5071,(08) 8362 8579,(08) 8362 8600,1300 880 569,
Senator,Bilyk,Catryna,Louise,Catryna,C. L.,,Senator,FEMALE,ALP,Tas,"Shop 3, Kingston Plaza",20 Channel Highway,Kingston,Tas,7050,PO Box 320,Kingston,Tas,7051,(03) 6229 4100,(03) 6229 4444,1300 855 225,Deputy Opposition Whip in the Senate
Senator the Hon,Birmingham,Simon,John,Simon,S. J.,,Senator,MALE,LP,SA,107 Sir Donald Bradman Drive,,Hilton,SA,5033,107 Sir Donald Bradman Drive,Hilton,SA,5033,(08) 8354 1655,(08) 8354 1644,1300 301 638,Assistant Minister for Education and Training
Senator the Hon,Brandis,George,Henry,George,G. H.,QC,Senator,MALE,LP,Qld,349 Sandgate Road,,Albion,Qld,4010,PO Box 143,Albion DC,Qld,4010,(07) 3862 4044,(07) 3862 4244 ,,"Attorney-General, Minister for Arts, Vice-President of the Executive Council, Deputy Leader of the Government in the Senate"
Senator,Brown,Carol,Louise,Carol,C. L.,,Senator,FEMALE,ALP,Tas,"AMP Building, Ground Floor",27 Elizabeth Street,Hobart,Tas,7001,GPO Box 376,Hobart,Tas,7001,(03) 6231 3009,(03) 6231 0099,1300 301 532,
Senator,Bullock,Joseph,Warrington,Joe,J.W.,,Senator,MALE,ALP,WA,Suite 31,443 Albany Highway,Victoria Park,WA,6100,PO Box 571,Victoria Park,WA,6979,(08) 9472 6200,(08) 9472 6177,,
Senator,Bushby,David,Christopher,David,D. C,,Senator,MALE,LP,Tas,Level 2,18 Ross Avenue,Rosny Park,Tas,7018,PO Box 429,Rosny Park,Tas,7018,(03) 6244 8521,(03) 6244 8533,1300 134 468,Chief Government Whip in the Senate
Senator the Hon,Cameron,Douglas,Niven,Doug,D. N.,,Senator,MALE,ALP,NSW,Unit 6,5 Raymond Road,Springwood,NSW,2777,PO Box 322,Springwood,NSW,2777,(02) 4751 3288,(02) 4751 4288,1300 226 005,
Senator,Canavan,Matthew,James,Matthew,M.J.,,Senator,MALE,Nats,Qld,"Tenancy 4E, Level 4",34 East Street,Rockhampton,Qld,4700,PO Box 737,Rockhampton,Qld,4700,(07) 4927 2004,(07) 4927 2003,1300 301 887,
Senator the Hon,Carr,Kim,John,Kim,K. J.,,Senator,MALE,ALP,Vic,62 Lygon Street,,Carlton South,Vic,3053,62 Lygon Street,Carlton South,Vic,3053,(03) 9639 3109,(03) 9639 2798,,
Senator the Hon,Cash,Michaelia,Clare,Michaelia,M.C.,,Senator,FEMALE,LP,WA,44 Outram Street,,West Perth,WA,6005,PO Box 1966,West Perth,WA,6872,(08) 9226 2211,(08) 9226 2000,,"Assistant Minister for Immigration and Border Protection, Minister Assisting the Prime Minister for Women"
Senator the Hon,Colbeck,Richard,,Richard,R.,,Senator,MALE,LP,Tas,5-7 Best Street,,Devonport,Tas,7310,PO Box 603,Devonport,Tas,7310,(03) 6423 5244,(03) 6424 5960,,Parliamentary Secretary to the Minister for Agriculture
Senator the Hon,Collins,Jacinta,Mary Ann,Jacinta,J. M. A.,,Senator,FEMALE,ALP,Vic,Ground Floor,1013 Whitehorse Road,Box Hill,Vic,3128,"Ground Floor, 1013 Whitehorse Road",Box Hill,Vic,3128,(03) 9890 7122,(03) 9890 7022,,
Senator the Hon,Conroy,Stephen,Michael,Stephen,S. M.,,Senator,MALE,ALP,Vic,"Level 4, 4 Treasury Place",,Melbourne,Vic,3002,"Level 4, 4 Treasury Place",Melbourne,Vic,3002,03 9663 7245,03 9650 1188,,Deputy Leader of the Opposition in the Senate
Senator the Hon,Conroy,Stephen,Michael,Stephen,S. M.,,Senator,MALE,ALP,Vic,17 Mason Street,,Newport,Vic,3015,PO Box 3162,Newport West,Vic,3015,(03) 9391 5451,(03) 9391 4952,1300 131 546,Deputy Leader of the Opposition in the Senate
Senator the Hon,Cormann,Mathias,Hubert Paul,Mathias,M.H.P.,,Senator,MALE,LP,WA,"Level 38, Exchange Plaza",2 The Esplanade,Perth,WA,6000,GPO Box B58,Perth,WA,6838,(08) 9325 6857,(08) 9325 4227,1300 301 728,Minister for Finance
Senator,Dastyari,Sam,,Sam,S.,,Senator,MALE,ALP,NSW,Suite 2,206T Allison Road,Randwick,NSW,2031,PO Box 717,Randwick,NSW,2031,(02) 9326 5895,(02) 9326 5987,1300 880 904,
Senator,Day,Robert,John,Bob,R.J.,AO,Senator,MALE,FFP,SA,77 Fullarton Road,,Kent Town,SA,5067,77 Fullarton Road,Kent Town,SA,5067,(08) 8331 0151  ,(08) 8331 0138  ,1300 554 166,
Senator,Di Natale,Richard,,Richard,R.,,Senator,MALE,AG,Vic,Level 4,199 Moorabool Street,Geelong,Vic,3220,"Level 4, 199 Moorabool Street",Geelong,Vic,3220,(03) 5221 5100,(03) 5221 4100,1300 883 502,Leader of the Australian Greens
Senator,Edwards,Sean,,Sean,S.,,Senator,MALE,LP,SA,187 Grenfell Street,,Adelaide,SA,5000,187 Grenfell Street,Adelaide,SA,5000,(08) 8232 0448,(08) 8232 0440,1300 738 260,
Senator,Fawcett,David,Julian,David,D.J.,,Senator,MALE,LP,SA,"Commonwealth Parliament Offices, Suite 4, Level 13",100 King William Street,Adelaide,SA,5000,"Commonwealth Parliament Offices, Suite 4, Level 13, 100 King William Street",Adelaide,SA,5000,(08) 8205 1045,(08) 8205 1040,,Deputy Government Whip in the Senate
Senator the Hon,Fierravanti-Wells,Concetta,,Concetta,C.,,Senator,FEMALE,LP,NSW,"Suite 1, Level 2,","6-8 Regent Street,",Wollongong,NSW,2500,PO Box 886,Wollongong,NSW,2520,(02) 4226 1733,(02) 4226 1700,1300 735 268,Parliamentary Secretary to the Minister for Social Services
Senator the Hon,Fifield,Mitchell,Peter,Mitch,M. P.,,Senator,MALE,LP,Vic,42 Florence Street,,Mentone,Vic,3194,42 Florence Street,Mentone,Vic,3194,(03) 9584 8347,(03) 9584 2455,1300 797 110,"Manager of Government Business in the Senate, Assistant Minister for Social Services"
Senator,Gallacher,Alexander,McEachian,Alex,A. M.,,Senator,MALE,ALP,SA,265 Churchill Road,,Prospect,SA,5082,265 Churchill Road,Prospect,SA,5082,(08) 8269 6044,(08) 8269 6022,,
Senator ,Gallagher,Katy,,Katy,K.,,Senator,FEMALE,ALP,ACT,"Unit A, Ground Floor, Law Society Building",11 London Circuit,Canberra,ACT,2601,"Unit A, Ground Floor, Law Society Building, 11 London Circuit",Canberra,ACT,2601,(02) 6230 0413,(02) 6230 0411,,
Senator,Hanson-Young,Sarah,Coral,Sarah,S.C.,,Senator,FEMALE,AG,SA,"Level 7, 147 Pirie Street",,Adelaide,SA,5000,"Level 7, 147 Pirie Street",Adelaide,SA,5000,(08) 8227 0426,(08) 8227 0425,,
Senator the Hon,Heffernan,William,,Bill,W.,,Senator,MALE,LP,NSW,Level 7,100 William Street,East Sydney,NSW,2011,"Level 7, 100 William Street",East Sydney,NSW,2011,(02) 9357 2800,(02) 9357 2600,1300 301 796,
Senator the Hon,Johnston,David,,David,D.,,Senator,MALE,LP,WA,183 Great Eastern Highway,,Belmont,WA,6104,183 Great Eastern Highway,Belmont,WA,6104,(08) 9478 1746,(08) 9478 2088,,
Senator,Ketter,Christopher,Ronald,Chris,C.R.,,Senator,MALE,ALP,Qld,"'Crossroads', 454 Gympie Road",,Strathpine,Qld,4500,PO Box 2246,Strathpine Centre,Qld,4500,(07) 3881 3755,(07) 3881 3710,1300 884 489,
Senator,Lambie,Jacqui,,Jacqui,J.,,Senator,FEMALE,Ind.,Tas,Shop 4,22 Mount Street,Burnie,Tas,7320,PO Box 256,Burnie,Tas,7320,(03) 6431 3200,(03) 6431 2233,,
Senator,Lazarus,Glenn,Patrick,Glenn,G.P.,,Senator,MALE,Ind.,Qld,GPO Box 228,,Brisbane,Qld,4001,GPO Box 228,Brisbane,Qld,4001,(07) 3001 8948,(07) 3001 8940,,
Senator,Leyonhjelm,David,Ean,David,D.E.,,Senator,MALE,LDP,NSW,Suite 405 Henry Lawson Building,19 Roseby Street,Drummoyne,NSW,2047,PO Box 636,Drummoyne,NSW,1470,(02) 9719 1078,(02) 9181 5462 ,1300 884 092,
Senator,Lines,Susan,,Sue,S.,,Senator,FEMALE,ALP,WA,51 Ord Street,,West Perth,WA,6005,PO Box 1322,West Perth,WA,6872,(08) 9481 4244,(08) 9481 4844,1300 655 388,
Senator,Ludlam,Scott,,Scott,S.,,Senator,MALE,AG,WA,8 Cantonment Street,,Fremantle,WA,6160,8 Cantonment Street,Fremantle,WA,6160,(08) 9335 7499,(08) 9335 7477,1300 733 450,Co-Deputy Leader of the Australian Greens
Senator the Hon,Ludwig,Joseph,William,Joseph,J. W.,,Senator,MALE,ALP,Qld,Suites 5 and 6 Level 36 Waterfront Place,1 Eagle Street,Brisbane,Qld,4000,GPO Box 2477,Brisbane,Qld,4001,(07) 3229 4140,(07) 3229 4477,1300 301 944,
Senator the Hon,Macdonald,Ian,Douglas,Ian,I. D.,,Senator,MALE,LP,Qld,Level 1,131 Denham Street,Townsville,Qld,4810,PO Box 2185,Townsville,Qld,4810,(07) 4771 3411,(07) 4771 3066,1300 301 949,
Senator,Madigan,John,Joseph,John,J. J.,,Senator,MALE,Ind.,Vic,17 Albert Street,,Ballarat,Vic,3350,17 Albert Street,Ballarat,Vic,3350,(03) 5331 2476,(03) 5331 2321,,
Senator,Marshall,Gavin,Mark,Gavin,G. M.,,Senator,MALE,ALP,Vic,376 Victoria Street,,North Melbourne,Vic,3051,376 Victoria Street,North Melbourne,Vic,3051,(03) 9348 9837,(03) 9348 9699,,"Deputy President of the Senate, Chair of Committees"
Senator,McAllister,Jennifer,,Jenny,J.,,Senator,FEMALE,ALP,NSW ,Suite 1,1 Park Avenue,Drummoyne,NSW,2047,"Suite 1, 1 Park Avenue",Drummoyne,NSW,2047,(02) 9719 8100,(02) 9719 8078 ,1300 301 752 ,
